instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,success
184,08/01/2011,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,FALSE
185,08/01/2011,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,FALSE
186,09/01/2011,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,FALSE
187,09/01/2011,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,FALSE
188,09/01/2011,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,FALSE
189,09/01/2011,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,FALSE
190,09/01/2011,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,FALSE
191,09/01/2011,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,FALSE
192,09/01/2011,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,FALSE
193,09/01/2011,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,FALSE
194,09/01/2011,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,FALSE
195,09/01/2011,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19,FALSE
196,09/01/2011,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49,FALSE
197,09/01/2011,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49,FALSE
198,09/01/2011,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83,FALSE
199,09/01/2011,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75,FALSE
200,09/01/2011,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72,FALSE
201,09/01/2011,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82,FALSE
202,09/01/2011,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92,FALSE
203,09/01/2011,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62,FALSE
204,09/01/2011,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48,FALSE
205,09/01/2011,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41,FALSE
206,09/01/2011,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38,FALSE
207,09/01/2011,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20,FALSE
208,09/01/2011,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15,FALSE
209,09/01/2011,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0,6,6,FALSE
210,10/01/2011,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5,FALSE
211,10/01/2011,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1,FALSE
212,10/01/2011,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3,FALSE
213,10/01/2011,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1,FALSE
214,10/01/2011,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3,FALSE
215,10/01/2011,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3,FALSE
216,10/01/2011,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31,FALSE
217,10/01/2011,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77,FALSE
218,10/01/2011,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188,FALSE
219,10/01/2011,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94,FALSE
220,10/01/2011,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31,FALSE
221,10/01/2011,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30,FALSE
222,10/01/2011,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52,FALSE
223,10/01/2011,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54,FALSE
224,10/01/2011,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,0,47,47,FALSE
225,10/01/2011,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,2,43,45,FALSE
226,10/01/2011,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74,FALSE
227,10/01/2011,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178,FALSE
228,10/01/2011,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155,FALSE
229,10/01/2011,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95,FALSE
230,10/01/2011,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74,FALSE
231,10/01/2011,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38,FALSE
232,10/01/2011,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24,FALSE
233,10/01/2011,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18,FALSE
234,11/01/2011,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,12,FALSE
235,11/01/2011,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3,FALSE
236,11/01/2011,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,0,3,3,FALSE
237,11/01/2011,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,6,FALSE
238,11/01/2011,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,27,FALSE
239,11/01/2011,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0,2,97,99,FALSE
240,11/01/2011,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,217,TRUE
241,11/01/2011,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,3,127,130,FALSE
242,11/01/2011,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51,54,FALSE
243,11/01/2011,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31,35,FALSE
244,11/01/2011,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55,57,FALSE
245,11/01/2011,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,6,46,52,FALSE
246,11/01/2011,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,3,60,63,FALSE
247,11/01/2011,1,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,2,45,47,FALSE
248,11/01/2011,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,4,72,76,FALSE
249,11/01/2011,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,6,130,136,FALSE
250,11/01/2011,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,1,94,95,FALSE
251,11/01/2011,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0,0,51,51,FALSE
252,11/01/2011,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.194,0,32,32,FALSE
253,11/01/2011,1,0,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,0,20,20,FALSE
254,11/01/2011,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,1,28,29,FALSE
255,11/01/2011,1,0,1,23,0,2,1,3,0.16,0.197,0.93,0.0896,1,18,19,FALSE
256,12/01/2011,1,0,1,0,0,3,1,2,0.16,0.197,0.86,0.0896,0,7,7,FALSE
257,12/01/2011,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,0,6,6,FALSE
258,12/01/2011,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,0,1,1,FALSE
259,12/01/2011,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,0,5,5,FALSE
